question_text,source,module_type,toggle_category,keywords,n_keywords,word_count,complexity,Ui,Bi,Ri,selected_for_module
"Since Katrina and Rita, have you been worrying too much about different things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['different things', 'katrina', 'much', 'rita', 'since katrina', 'worrying', 'you']",7,13,3.0,2.7,1.9,1.4211,False
"Since Katrina and Rita, have you felt your heart pounding or racing?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['felt', 'heart pounding', 'katrina', 'racing', 'rita', 'since katrina', 'you', 'your heart']",8,12,3.5,2.7,1.9,1.4211,False
"Since Katrina and Rita, have you felt nervous anxious or on edge?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['edge', 'felt nervous anxious', 'katrina', 'rita', 'since katrina', 'you']",6,12,3.5,2.7,1.9,1.4211,False
"Since Katrina and Rita, have you been unable to stop or control worrying?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['control worrying', 'katrina', 'rita', 'since katrina', 'stop', 'unable', 'you']",7,13,3.5,2.7,2.0,1.35,False
"Since Katrina and Rita, how often have you been bothered by trouble concentrating on things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'often', 'rita', 'since katrina', 'things', 'trouble', 'trouble concentrating', 'you']",9,15,3.0,2.7,2.1,1.2857,False
"Since Katrina and Rita, how often have you been bothered by feeling bad about yourself?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'feeling bad', 'katrina', 'often', 'rita', 'since katrina', 'you', 'yourself']",8,15,3.0,2.7,2.1,1.2857,False
And are you... 1. Male 2. Female,Understanding Society,Generic,Generic Core,"['... 1', '1. male', 'female', 'male 2', 'you']",5,7,2.0,1.35,1.1,1.2273,True
"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'often', 'overeating', 'poor appetite', 'rita', 'since katrina', 'you']",8,15,3.5,2.7,2.2,1.2273,False
"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'often', 'overeating', 'poor appetite', 'rita', 'since katrina', 'you']",8,15,3.5,2.7,2.2,1.2273,False
"Since Katrina and Rita, have you felt emotionally distant or cut off from other people?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['cut', 'felt emotionally distant', 'katrina', 'other people', 'people', 'rita', 'since katrina', 'you']",8,15,3.5,2.7,2.2,1.2273,False
"Since Katrina and Rita, how often have you been bothered by feeling down depressed or hopeless?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'depressed', 'feeling', 'hopeless', 'katrina', 'often', 'rita', 'since katrina', 'you']",9,16,3.5,2.7,2.3,1.1739,False
"Can I just check, are you normally resident at this address?",Understanding Society,Generic,Generic Core,"['address', 'check', 'normally resident', 'this address', 'you']",5,11,0.5,1.4,1.2,1.1667,True
How many days were you without electricity after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['electricity', 'how many days', 'katrina', 'many days', 'rita', 'without electricity', 'you']",7,11,2.5,1.8,1.6,1.125,False
Was your home damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['destroyed', 'home damaged', 'katrina', 'rita']",4,10,3.0,1.8,1.6,1.125,False
"Since Katrina and Rita, how often have you been bothered by feeling tired or having little energy?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'feeling tired', 'katrina', 'little energy', 'often', 'rita', 'since katrina', 'you']",8,17,3.5,2.7,2.4,1.125,False
"Since Katrina and Rita, how often have you been bothered by little interest or pleasure in doing things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'little interest', 'often', 'pleasure', 'rita', 'since katrina', 'things', 'you']",9,18,3.5,2.7,2.5,1.08,False
Overall how would you rate the impact of Katrina or Rita on your family?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['family', 'impact', 'katrina', 'overall', 'rate', 'rita', 'the impact', 'would', 'you', 'your family']",10,14,1.5,1.8,1.7,1.0588,False
How many days were you without running water after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['how many days', 'katrina', 'many days', 'rita', 'running water', 'without running water', 'you']",7,12,2.5,1.8,1.7,1.0588,False
"Since Katrina and Rita, how often have you been bothered by moving or speaking slowly or being restless?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'moving', 'often', 'restless', 'rita', 'since katrina', 'speaking slowly', 'you']",9,18,4.0,2.7,2.6,1.0385,False
Did you receive help from other government agencies or nonprofit organizations?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['government agencies', 'help', 'nonprofit organizations', 'other government agencies', 'receive help', 'you']",6,11,0.5,1.2,1.2,1.0,False
"Since Katrina and Rita, how often have you been bothered by trouble falling or staying asleep or sleeping too much?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bothered', 'katrina', 'much', 'often', 'rita', 'since katrina', 'sleeping', 'staying asleep', 'trouble', 'trouble falling', 'you']",11,20,4.0,2.7,2.8,0.9643,False
Did you have to move to a different city or state because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['a different city', 'different city', 'katrina', 'move', 'rita', 'state', 'you']",7,16,3.0,1.8,2.2,0.8182,False
Did you receive any help from FEMA Federal Emergency Management Agency?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['any help', 'fema federal emergency management agency', 'help', 'receive', 'you']",5,11,1.0,0.7,1.3,0.5385,False
